機種名,メーカー,信頼度,要確認項目数,要確認内容,出率出典URL,データ取得日
マイジャグラーVI,北電子,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5054,2026-08-13
スマスロ 獣王,サミー,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5061,2026-08-13
パチスロ見える子ちゃん,パイオニア,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5042,2026-08-13
スマスロ タコスロ,ユニバーサルブロス,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5049,2026-08-13
L青春ブタ野郎はバニーガール先輩の夢を見ない,オリンピア,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5064,2026-08-13
Lパチスロ 彼女、お借りします,SANKYO,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5065,2026-08-13
スロット ワールドダイスター,パオン・ディーピー,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5055,2026-08-13
LBトリプルクラウンX-300,清龍ゲームジャパン,低,6,"出率欠損: 設定2出率, 設定3出率, 設定4出率, 設定5出率 ／ コイン単価未確認 ／ 出率の情報源が1つしかない（照合未達） ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明",https://p-town.dmm.com/machines/5089,2026-08-13
Lすーぱぁびん娘,ベルコ,高,5,出率欠損: 設定3出率 ／ コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/super-bin-musume | https://p-town.dmm.com/machines/5038,2026-08-13
ローティス,北電子,高,5,出率欠損: 設定3出率 ／ コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/rotis | https://p-town.dmm.com/machines/5029,2026-08-13
スマスロパリピ孔明,山佐,要確認,4,設定1〜6の出率が1つも入っていない（データ欠損） ／ コイン単価未確認 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,,2026-08-13
L 転生王女と天才令嬢の魔法革命,オリンピアエステート,要確認,4,設定1〜6の出率が1つも入っていない（データ欠損） ／ コイン単価未確認 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,,2026-08-13
モグモグ風林火山 大海戦の巻,ネット,要確認,4,設定1〜6の出率が1つも入っていない（データ欠損） ／ コイン単価未確認 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,,2026-08-13
スマスロ リコリス・リコイル,サミー,高,4,コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/lycoris-recoil | https://p-town.dmm.com/machines/5033,2026-08-13
Lパチスロ 喰霊-零-Re,オーイズミ,高,4,コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/garei-zero-re | https://p-town.dmm.com/machines/5028,2026-08-13
スマスロ ストリートファイター6,レオスター,高,4,コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/street-fighter6 | https://p-town.dmm.com/machines/5068,2026-08-13
スマスロ とんでもスキルで異世界放浪メシ,コナミアミューズメント,高,4,コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/tondemo-skill | https://p-town.dmm.com/machines/5030,2026-08-13
スマスロ とある魔術の禁書目録2,藤商事,高,4,コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/toaru-majutsu2 | https://p-town.dmm.com/machines/5053,2026-08-13
L邪神ちゃんドロップキック,サンスリー,高,4,コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/jashin-chan-dropkick | https://p-town.dmm.com/machines/5020,2026-08-13
戦国コレクション6,コナミアミューズメント,高,4,コイン単価未確認 ／ 出率条件が不明 ／ 現行機かどうか不明（現行判定要確認） ／ 機種タイプ不明,https://slobase.jp/machines/sengoku-collection6 | https://p-town.dmm.com/machines/5010,2026-08-13
