機種名,メーカー,機種タイプ,メディア区分,ATタイプ,ボーナスタイプ,規則区分,型式名,コイン単価,コイン単価条件,設定1出率,設定2出率,設定3出率,設定4出率,設定5出率,設定6出率,出率条件,出率出典URL,コイン単価出典URL,メーカー出典URL,データ取得日,現行判定,信頼度,備考,別表記
マイジャグラーVI,北電子,,,,,,,,,97.0,,,,,109.4,不明（条件表記未確認）,https://p-town.dmm.com/machines/5054,,https://www.p-world.co.jp/machine/database/10513 | https://p-town.dmm.com/machines/5054,2026-08-13,現行判定要確認,低,メーカー表記が情報源間で不一致（P-WORLD『北電子』/ DMMぱちタウン『北電子(メーカー公式サイト) 北電子』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ DMMぱちタウンの範囲表記からの設定1・6のみ。設定2〜5は範囲表記のため取得できず空欄 ／ 検定番号 5S0437 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
スマスロパリピ孔明,山佐,,,,,,,,,,,,,,,不明（条件表記未確認）,,,https://www.p-world.co.jp/machine/database/10518 | https://p-town.dmm.com/machines/5057,2026-08-13,現行判定要確認,要確認,メーカー表記が情報源間で不一致（P-WORLD『山佐』/ DMMぱちタウン『山佐(メーカー公式サイト) 山佐』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ 検定番号 6S0292 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
スマスロ 獣王,サミー,,,,,,,,,97.8,,,,,114.3,不明（条件表記未確認）,https://p-town.dmm.com/machines/5061,,https://www.p-world.co.jp/machine/database/10521 | https://p-town.dmm.com/machines/5061,2026-08-13,現行判定要確認,低,メーカー表記が情報源間で不一致（P-WORLD『サミー』/ DMMぱちタウン『サミー(メーカー公式サイト) サミー』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ DMMぱちタウンの範囲表記からの設定1・6のみ。設定2〜5は範囲表記のため取得できず空欄 ／ 検定番号 6S0560 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
L 転生王女と天才令嬢の魔法革命,オリンピアエステート,,,,,,,,,,,,,,,不明（条件表記未確認）,,,https://www.p-world.co.jp/machine/database/10550 | https://p-town.dmm.com/machines/5086,2026-08-13,現行判定要確認,要確認,メーカー表記が情報源間で不一致（P-WORLD『オリンピアエステート』/ DMMぱちタウン『オリンピアエステート(メーカー公式サイト) オリンピアエステート』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ 検定番号 6S0429 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
モグモグ風林火山 大海戦の巻,ネット,,,,,,Lモグモグ風林火山 大海戦の巻ZB,,,,,,,,,不明（条件表記未確認）,,,https://www.p-world.co.jp/machine/database/10523 | https://p-town.dmm.com/machines/5059,2026-08-13,現行判定要確認,要確認,メーカー表記が情報源間で不一致（P-WORLD『ネット』/ DMMぱちタウン『ネット(メーカー公式サイト) ネット』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ 検定番号 531225 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
パチスロ見える子ちゃん,パイオニア,,,,,,L見える子ちゃんSC,,,97.8,,,,,114.9,不明（条件表記未確認）,https://p-town.dmm.com/machines/5042,,https://www.p-world.co.jp/machine/database/10501 | https://p-town.dmm.com/machines/5042,2026-08-13,現行判定要確認,低,メーカー表記が情報源間で不一致（P-WORLD『パイオニア』/ DMMぱちタウン『パイオニア(メーカー公式サイト) パイオニア』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ DMMぱちタウンの範囲表記からの設定1・6のみ。設定2〜5は範囲表記のため取得できず空欄 ／ 検定番号 6S0265 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
スマスロ リコリス・リコイル,サミー,,,,,,L スマスロ リコリス・リコイル KX,,,97.9,98.9,101.3,106.1,110.4,114.6,不明（条件表記未確認）,https://slobase.jp/machines/lycoris-recoil | https://p-town.dmm.com/machines/5033,,https://www.p-world.co.jp/machine/database/10503 | https://p-town.dmm.com/machines/5033,2026-08-13,現行判定要確認,高,メーカー表記が情報源間で不一致（P-WORLD『サミー』/ DMMぱちタウン『サミー(メーカー公式サイト) サミー』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ 設定1・6の出率が2情報源で一致 ／ 検定番号 6S0400 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
スマスロ タコスロ,ユニバーサルブロス,,,,,,LB/タコスロBD,,,98.7,,,,,108.5,不明（条件表記未確認）,https://p-town.dmm.com/machines/5049,,https://www.p-world.co.jp/machine/database/10510 | https://p-town.dmm.com/machines/5049,2026-08-13,現行判定要確認,低,メーカー表記が情報源間で不一致（P-WORLD『ユニバーサルブロス』/ DMMぱちタウン『ユニバーサルブロス(メーカー公式サイト) ユニバーサルブロス』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ DMMぱちタウンの範囲表記からの設定1・6のみ。設定2〜5は範囲表記のため取得できず空欄 ／ 検定番号 6S0085 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
L青春ブタ野郎はバニーガール先輩の夢を見ない,オリンピア,,,,,,L青春ブタ野郎L1,,,98.1,,,,,110.3,不明（条件表記未確認）,https://p-town.dmm.com/machines/5064,,https://www.p-world.co.jp/machine/database/10527 | https://p-town.dmm.com/machines/5064,2026-08-13,現行判定要確認,低,メーカー表記が情報源間で不一致（P-WORLD『オリンピア』/ DMMぱちタウン『オリンピア(メーカー公式サイト) オリンピア』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ DMMぱちタウンの範囲表記からの設定1・6のみ。設定2〜5は範囲表記のため取得できず空欄 ／ 検定番号 630379 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
Lパチスロ 彼女、お借りします,SANKYO,,,,,,Lレンタル彼女bK,,,97.7,,,,,114.9,不明（条件表記未確認）,https://p-town.dmm.com/machines/5065,,https://www.p-world.co.jp/machine/database/10543 | https://p-town.dmm.com/machines/5065,2026-08-13,現行判定要確認,低,メーカー表記が情報源間で不一致（P-WORLD『SANKYO』/ DMMぱちタウン『SANKYO(メーカー公式サイト) SANKYO』） ／ 設置店舗数の記載を確認できず、現行稼働かを判断できない ／ DMMぱちタウンの範囲表記からの設定1・6のみ。設定2〜5は範囲表記のため取得できず空欄 ／ 検定番号 630270 ／ コイン単価未確認 ／ 規則区分をP-WORLDのタイプ欄で確認できず、対象範囲か判断できない,
